method,kind,dataset_label,dataset,k,num_samples,mean_recall,mean_regret,checkpoint
depth1_rank_knn_linf,graph,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,8.0,1000.0,0.5068333333333332,0.8954635140156837,checkpoints/ablations/depth1_rank_knn_linf.pt
depth1_rank_knn_linf,graph,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,16.0,1000.0,0.6796666666666666,0.9584001178375664,checkpoints/ablations/depth1_rank_knn_linf.pt
depth2_rank_knn_linf,graph,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,4.0,1000.0,0.37966666666666665,0.7647235030181481,checkpoints/ablations/depth2_rank_knn_linf.pt
depth2_rank_knn_linf,graph,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,8.0,1000.0,0.547,0.9160217030694686,checkpoints/ablations/depth2_rank_knn_linf.pt
depth2_rank_knn_linf,graph,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,16.0,1000.0,0.712,0.9640575481068747,checkpoints/ablations/depth2_rank_knn_linf.pt
knn_euclidean,graph,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,4.0,1000.0,0.37016666666666664,0.7685624148442843,checkpoints/ablations/knn_euclidean.pt
knn_euclidean,graph,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,8.0,1000.0,0.5401666666666668,0.9115274233221738,checkpoints/ablations/knn_euclidean.pt
knn_euclidean,graph,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,16.0,1000.0,0.717,0.9639032233832001,checkpoints/ablations/knn_euclidean.pt
knn_linf,graph,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,4.0,1000.0,0.3676666666666667,0.7749913201949474,checkpoints/ablations/knn_linf.pt
knn_linf,graph,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,8.0,1000.0,0.5318333333333333,0.9136104943886618,checkpoints/ablations/knn_linf.pt
knn_linf,graph,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,16.0,1000.0,0.72,0.9646669305306707,checkpoints/ablations/knn_linf.pt
local,local,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,4.0,1000.0,0.11633333333333333,0.7214761693484255,
local,local,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,8.0,1000.0,0.18416666666666667,0.7816936819245648,
local,local,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,16.0,1000.0,0.2798333333333333,0.8449084105078837,
